PLAYER NAME,AVG_APPROACH_BIRDIE_OR_BETTER,AVG_APPROACH_BOGEY_OR_WORSE,AVG_APPROACH_PAR,AVG_APPROACH_SHOT_DISTANCE,FAIRWAY_APPROACH_RTP,GIR_PCT_FAIRWAY_BUNKER,GIR_PCT_FAIRWAY,GIR_PCT_OTHER,GIR_PCT_OVERALL,GIR_PCT_100-125,GIR_PCT_OVER_100,GIR_PCT_125-150,GIR_PCT_150-175,GIR_PCT_175-200,GIR_PCT_OVER_200,GIR_PCT_75-100,GIR_PCT_UNDER_100,GIR_PCT_UNDER_125,GIR_PCT_UNDER_75,GREEN_PCT_SAND_SAVES,GREEN_PCT_SCRAMBLE,GREEN_PCT_SCRAMBLE_FRINGE,GREEN_PCT_SCRAMBLE_ROUGH,GREEN_PCT_SCRAMBLE_SAND,FINISHES_FEDEXCUP_BONUS,FINISHES_OFFICIAL_MONEY,FINISHES_TOP10,FINISHES_OFFICIAL_UNOFFICIAL_MONEY,TEE_AVG_APEX,TEE_AVG_BALL_SPEED,TEE_BALL_STRIKING,TEE_AVG_CARRY,TEE_LONGEST_CARRY_DISTANCE,TEE_AVG_CARRY_EFF,TEE_AVG_CLUB_HEAD_SPEED,TEE_AVG_DISTANCE_FROM_CENTER_FR,TEE_DRIVING_ACCURACY_PCT,TEE_AVG_DRIVING_DISTANCE,TEE_AVG_FAIRWAY_BUNKER_TENDENCY_PCT,TEE_AVG_FIR_PCT,TEE_AVG_LAUNCH_ANGLE,TEE_AVG_LEFT_ROUGH_TENDENCY_PCT,TEE_LONGEST_DRIVES,TEE_AVG_RIGHT_ROUGH_TENDENCY_PCT,TEE_AVG_SMASH_FACTOR,TEE_AVG_SPIN_RATE,PUTTING_AVG_ONE_PUTTS,PUTTING_AVG_TWO_PUTTS,PUTTING_AVG_THREE_PUTTS,PUTTING_APPROACH_PERFORMANCE,PUTTING_AVG_DIST_BIRDIE,PUTTING_AVG_DIST_EAGLE,PUTTING_AVG_DIST_MADE,PUTTING_PCT_BIRDIE_OR_BETTER,PUTTING_AVG_OVERALL,PUTTING_AVG_PUTTS,SCORING_AVG_BIRDIES,SCORING_PCT_BIRDIE_OR_BETTER,SCORING_BIRDIE_BOGEY_RATIO,SCORING_BOGEY_AVERAGE,SCORING_EAGLES_PER_HOLE,SCORING_PAR3_AVERAGE,SCORING_PAR4_AVERAGE,SCORING_PAR5_AVERAGE,SCORING_ROUNDS_IN_60S,SCORING_AVG_OVERALL,SCORING_TOTAL_BIRDIES,SCORING_TOTAL_EAGLES,STREAKS_CUTS_MADE,STREAKS_FIRS_MADE,STREAKS_GIRS_MADE,STREAKS_HOLES_UNDER_PAR
Rafael Campos,,,,,,,,,,,,,,,,,,,,,,,,,,"$119,257",,"$119,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
John Huh,,,,,,,,,,,,,,,,,,,,,,,,,,"$104,504",,"$104,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0
Jamie Lovemark,,,,,,,,,,,,,,,,,,,,,,,,,,"$98,439",,"$98,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,3.0
Satoshi Kodaira,,,,,,,,,,,,,,,,,,,,,,,,,,"$82,878",,"$82,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
Jerry Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,"$78,327",,"$78,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,15.0,0.0,3.0
Ben Crane,,,,,,,,,,,,,,,,,,,,,,,,,,"$71,831",,"$71,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0
Johnson Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,"$46,925",,"$46,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3.0
Tommy Gainey,,,,,,,,,,,,,,,,,,,,,,,,,,"$46,706",,"$46,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Morgan Hoffmann,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,850",,"$44,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Carl Pettersson,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,245",,"$43,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
John Merrick,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,707",,"$40,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,3.0
Sangmoon Bae,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,910",,"$37,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,3.0
Robert Garrigus,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,571",,"$37,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0
Davis Love III,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,025",,"$35,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0
Graham DeLaet,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,359",,"$31,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,3.0
David Lingmerth,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,768",,"$29,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,4.0
John Senden,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,508",,"$29,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0
J.J. Henry,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,160",,"$23,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0
Lucas Bjerregaard,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,825",,"$21,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0
Vijay Singh,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,088",,"$20,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0
Daniel Chopra,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,004",,"$20,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0
Sean O'Hair,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,204",,"$101,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0
William McGirt,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,158",,"$19,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
Vince Covello,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,035",,"$19,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
